nshoots;hormone;period;period2;hormone2;period3;hormone3
1;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
1;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
1;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
2;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
2;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
3;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
3;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
3;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
4;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
4;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
4;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
4;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
4;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
4;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
5;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
5;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
5;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
6;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
6;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
7;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
7;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
8;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
8;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
8;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
9;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
10;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
10;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
11;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
13;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
17;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
2;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
2;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
2;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
4;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
6;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
6;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
6;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
8;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
8;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
8;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
9;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
9;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
9;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
9;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
9;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
10;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
10;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
10;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
11;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
11;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
11;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
11;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
13;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
2;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
3;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
3;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
4;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
4;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
4;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
4;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
5;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
5;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
5;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
5;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
6;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
6;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
6;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
6;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
7;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
7;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
7;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
7;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
8;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
8;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
8;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
8;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
8;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
8;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
8;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
9;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
9;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
9;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
9;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
9;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
10;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
10;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
10;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
10;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
11;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
12;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
12;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
14;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
14;3;1;8;8,8;Photoperiod: 16 hours;BAP (?M): 17.6
0;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
0;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
3;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
3;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
4;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
4;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
5;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
5;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
5;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
5;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
5;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
6;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
6;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
6;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
6;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
6;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
7;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
7;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
7;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
7;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
8;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
8;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
8;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
8;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
8;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
8;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
8;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
8;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
9;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
9;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
9;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
10;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
10;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
10;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
10;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
11;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
11;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
11;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
11;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
14;4;1;8;17,6;Photoperiod: 16 hours;BAP (?M): 2.2
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
2;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
2;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
3;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
3;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
4;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
5;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
5;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
6;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
8;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
9;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
9;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
9;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
10;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
11;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
12;1;2;16;2,2;Photoperiod: 8 hours;BAP (?M): 4.4
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
1;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
1;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
2;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
3;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
4;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
4;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
5;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
6;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
6;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
8;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
10;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
10;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
10;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
12;2;2;16;4,4;Photoperiod: 8 hours;BAP (?M): 8.8
0;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
0;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
0;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
0;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
0;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
0;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
0;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
0;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
0;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
0;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
0;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
0;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
1;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
1;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
1;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
2;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
2;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
3;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
4;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
4;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
5;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
5;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
6;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
6;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
6;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
7;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
9;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
9;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
11;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
12;3;2;16;8,8;Photoperiod: 8 hours;BAP (?M): 17.6
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
0;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
1;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
1;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
2;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
2;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
3;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
3;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
3;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
3;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
4;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
4;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
4;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
5;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
6;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
6;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
6;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
6;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
7;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
7;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
7;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
9;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
9;4;2;16;17,6;Photoperiod: 8 hours;BAP (?M): 2.2
